зябкасць_NOUN спёка_NOUN
кволасць_NOUN сіла_NOUN
літасцівы_ADJ нечалавечы_ADJ
з'явіцца_VERB запрапасціцца_VERB
бяспечны_ADJ сур'ёзны_ADJ
бязлітаснасць_NOUN спачуванне_NOUN
злы_ADJ спраўны_ADJ
вялікі_ADJ невялікі_ADJ
змрочны_ADJ ясны_ADJ
ганьбіць_VERB хваліць_VERB
аслабець_VERB прыняць_VERB
звычайны_ADJ складаны_ADJ
няволя_NOUN свабода_NOUN
кланяцца_VERB развітвацца_VERB
брыдкі_ADJ сімпатычны_ADJ
дужы_ADJ нядужы_ADJ
атрымаць_VERB даць_VERB
абараняць_VERB зварочваць_VERB
мажны_ADJ марны_ADJ
касцісты_ADJ мажны_ADJ
здатны_ADJ кепскі_ADJ
дубець_VERB пячыся_VERB
загарацца_VERB стухаць_VERB
непрытворны_ADJ уяўны_ADJ
добры_ADJ сярдзіты_ADJ
гаснуць_VERB загарацца_VERB
непадробны_ADJ уяўны_ADJ
прыбытак_NOUN расход_NOUN
святло_NOUN цемрадзь_NOUN
выпраўляць_VERB пагаршаць_VERB
злы_ADJ ідэальны_ADJ
баязлівасць_NOUN харобрасць_NOUN
будучае_ADJ мінулае_ADJ
бясчэсце_NOUN слава_NOUN
нагнуцца_VERB разагнуцца_VERB
парожні_ADJ поўны_ADJ
дужы_ADJ нядошлы_ADJ
вокамгненна_ADV марудна_ADV
непагадзь_NOUN пагода_NOUN
мокры_ADJ насохлы_ADJ
стома_NOUN сіла_NOUN
моцны_ADJ стамлёны_ADJ
засмяяцца_VERB усхліпнуць_VERB
агульнапрыняты_ADJ незвычайны_ADJ
марудна_ADV спехам_ADV
збірацца_VERB разыходзіцца_VERB
скардзіцца_VERB смяяцца_VERB
абмежаваны_ADJ вялікі_ADJ
моцны_ADJ нядужы_ADJ
будучае_ADJ мінуўшчына_NOUN
кепскі_ADJ слаўны_ADJ
адзяваць_VERB скідваць_VERB
вясёлы_ADJ няўцешны_ADJ
паміраць_VERB існаваць_VERB
загарэцца_VERB згаснуць_VERB
бяда_NOUN дабро_NOUN
кепскі_ADJ узорны_ADJ
пагаршаць_VERB удасканальваць_VERB
сваяк_NOUN чужы_ADJ
баязлівасць_NOUN мужнасць_NOUN
адпаведнасць_NOUN дысгармонія_NOUN
краіна_NOUN неба_NOUN
звычайны_ADJ фенаменальны_ADJ
жыцца_VERB паміраць_VERB
даць_VERB прыняць_VERB
дакументальны_ADJ уяўны_ADJ
брыдкі_ADJ мілавідны_ADJ
павялічвацца_VERB убываць_VERB
злы_ADJ прыкладны_ADJ
вядомасць_NOUN ганьба_NOUN
жывы_ADJ палеглы_ADJ
бездакорны_ADJ кепскі_ADJ
святло_NOUN цьма_NOUN
гаваркі_ADJ негаваркі_ADJ
вера_NOUN няўпэўненасць_NOUN
звычайны_ADJ невымоўны_ADJ
аслаблы_ADJ дужы_ADJ
ажаніцца_VERB разысціся_VERB
намочаны_ADJ сухі_ADJ
кепскі_ADJ цудоўны_ADJ
нарадзіцца_VERB сканаць_VERB
воля_NOUN палон_NOUN
панурасць_NOUN радасць_NOUN
вялікі_ADJ невядомы_ADJ
калектыўны_ADJ раздзельны_ADJ
адштурхнуцца_VERB прыперціся_VERB
знямогласць_NOUN сіла_NOUN
здатны_ADJ злы_ADJ
звычайны_ADJ непрывычны_ADJ
тухнуць_VERB успыхваць_VERB
дужасць_NOUN слабасць_NOUN
бог_NOUN д'ябал_NOUN
адборны_ADJ кепскі_ADJ
дзіця_NOUN жабрак_NOUN
абвінаваціць_VERB адваяваць_VERB
падыход_NOUN расстанне_NOUN
выцерпець_VERB унесці_VERB
звычайны_ADJ нечалавечы_ADJ
дасканалы_ADJ злы_ADJ
дапамагаць_VERB замінаць_VERB
рэдкі_ADJ часты_ADJ
праўдзівы_ADJ уяўны_ADJ
баязлівы_ADJ геройскі_ADJ
згінуць_VERB уваскрэснуць_VERB
жыццё_NOUN пагібель_NOUN
дрэнны_ADJ станоўчы_ADJ
бязрадасны_ADJ радасны_ADJ
незвычайны_ADJ сярэдні_ADJ
маланкава_ADV марудна_ADV
нешчаслівы_ADJ шчасны_ADJ
аддыхнуць_VERB стаміцца_VERB
малыш_NOUN старац_NOUN
палахлівы_ADJ смелы_ADJ
галодны_ADJ укормлены_ADJ
благі_ADJ прыгожы_ADJ
зваліцца_VERB устаць_VERB
абараняць_VERB вярнуць_VERB
брудны_ADJ празрысты_ADJ
багацце_NOUN бяднота_ADJ
потны_ADJ сухі_ADJ
выпасці_VERB узляцець_VERB
абжыцца_VERB адвыкнуць_VERB
невядомы_ADJ славуты_ADJ
стомленасць_NOUN сіла_NOUN
мабыць_ADV няпэўна_ADV
знакаміты_ADJ невядомы_ADJ
гора_NOUN памыснасць_NOUN
усаджвацца_VERB уставаць_VERB
злы_ADJ няўкорны_ADJ
зарадзіцца_VERB знікнуць_VERB
духмень_NOUN смурод_NOUN
няслава_ADV слава_NOUN
вялікі_ADJ цесны_ADJ
пах_NOUN тхліна_NOUN
апраўдваць_VERB складаць_VERB
добры_ADJ ліхі_ADJ
намоклы_ADJ сухі_ADJ
звычайны_ADJ неверагодны_ADJ
вясёлы_ADJ сумны_ADJ
бездакорны_ADJ злы_ADJ
апускаць_VERB араць_VERB
надзея_NOUN нявер'е_NOUN
збочыць_VERB узысці_VERB
адзяваць_VERB сыпаць_VERB
абвадненне_NOUN асушэнне_NOUN
слабы_ADJ трывалы_ADJ
кінуць_VERB прыпусціць_VERB
будучае_ADJ старажытнасць_NOUN
адмысловы_ADJ злы_ADJ
халадэча_NOUN цяпло_NOUN
запаліцца_VERB патухнуць_VERB
нясмеласць_NOUN смеласць_NOUN
бедлам_NOUN парадак_NOUN
вайсковы_ADJ грамадзянскі_ADJ
будзённы_ADJ незвычайны_ADJ
адступленне_NOUN напад_NOUN
ахайны_ADJ брудны_ADJ
нішчымны_ADJ скаромны_ADJ
недамаганне_NOUN сіла_NOUN
вонкавы_ADJ унутраны_ADJ
каламутны_ADJ чысты_ADJ
адборны_ADJ злы_ADJ
брыдкі_ADJ харошы_ADJ
адвыкнуць_VERB прызвычаіцца_VERB
няўпэўненасць_NOUN пераконанасць_NOUN
весяліць_VERB засмучаць_VERB
багацей_NOUN бядняк_NOUN
будучае_ADJ даўнейшае_ADJ
адказ_NOUN праблема_NOUN
выключны_ADJ звычайны_ADJ
будучае_ADJ прошласць_NOUN
вясёлы_ADJ жаласлівы_ADJ
аслабелы_ADJ моцны_ADJ
бліснуць_VERB прапасці_VERB
гарачыня_NOUN халадэча_NOUN
гул_NOUN цішыня_NOUN
важны_ADJ несур'ёзны_ADJ
вясёлы_ADJ жаласны_ADJ
адштурхнуцца_VERB прыхіліцца_VERB
зло_NOUN шчасце_NOUN
неабвержны_ADJ уяўны_ADJ
беднасць_NOUN лішак_NOUN
акрэслены_ADJ цьмяны_ADJ
гарачы_ADJ зябкі_ADJ
свежасць_NOUN цяпло_NOUN
злы_ADJ узорны_ADJ
баязлівы_ADJ гераічны_ADJ
выразны_ADJ матавы_ADJ
бедны_ADJ бязбедны_ADJ
змарыцца_VERB спачыць_VERB
баязлівасць_NOUN рыцарства_NOUN
бядак_NOUN шчаслівец_NOUN
дрымучы_ADJ рэдкі_ADJ
ператамленне_NOUN сіла_NOUN
лішак_NOUN недастача_NOUN
ашалелы_ADJ добры_ADJ
вызваліцель_NOUN заваёўнік_NOUN
адзяваць_VERB атрасаць_VERB
квапны_ADJ шчодры_ADJ
змакрэлы_ADJ сухі_ADJ
змарнелы_ADJ мажны_ADJ
воля_NOUN кабала_NOUN
добры_ADJ няспраўны_ADJ
жальба_NOUN радасць_NOUN
пануры_ADJ радасны_ADJ
парадак_NOUN разладдзе_NOUN
літасцівы_ADJ неміласэрны_ADJ
дужы_ADJ кволы_ADJ
адменны_ADJ кепскі_ADJ
адыход_NOUN парафія_NOUN
будны_ADJ незвычайны_ADJ
жалобны_ADJ радасны_ADJ
вясёлы_ADJ пануры_ADJ
парадак_NOUN рэзрух_NOUN
пражыць_VERB сканаць_VERB
злы_ADJ цудоўны_ADJ
спякотны_ADJ халодны_ADJ
дужы_ADJ надарваны_ADJ
знікнуць_VERB паўстаць_VERB
далёка_ADV недалёка_ADV
валіцца_VERB узлятаць_VERB
брыдкі_ADJ непаўторны_ADJ
нараджэнне_NOUN страта_NOUN
уваскрашаць_VERB утойваць_VERB
дзіцянё_VERB старац_NOUN
засмяглы_ADJ мокры_ADJ
непадроблены_ADJ уяўны_ADJ
прапасці_VERB узнікнуць_VERB
многа_ADV недастаткова_ADV
памерці_VERB узнікнуць_VERB
многа_ADV трохі_ADV
спёка_NOUN стыласць_NOUN
узлятаць_VERB усаджвацца_VERB
даўні_ADJ новы_ADJ
брыдкі_ADJ красны_ADJ
багацце_NOUN нястача_NOUN
нярадасны_ADJ радасны_ADJ
адвыкнуць_VERB асвойтацца_VERB
бурыць_VERB ствараць_VERB
звычайны_ADJ невераемны_ADJ
знікнуць_VERB радзіцца_VERB
абаяльны_ADJ брыдкі_ADJ
кепскі_ADJ прыкладны_ADJ
вялікі_ADJ небагаты_ADJ
завяршэнне_NOUN пачатак_NOUN
горасны_ADJ радасны_ADJ
баязлівасць_NOUN геройства_NOUN
баязлівы_ADJ бойкі_NOUN
яснасць_NOUN імгла_NOUN
злаваць_VERB любіць_VERB
адвыкнуць_VERB звыкнуцца_VERB
нядужасць_NOUN сіла_NOUN
адпачыць_VERB аслабець_VERB
святло_NOUN цемень_NOUN
невядомы_ADJ слаўны_ADJ
нармальны_ADJ незвычайны_ADJ
відны_ADJ невядомы_ADJ
адчаліць_VERB прышвартавацца_VERB
патомак_NOUN продак_NOUN
адчаліць_VERB прыстаць_VERB
асвятленне_NOUN цемра_NOUN
калець_VERB пячыся_VERB
выпасці_VERB устаць_VERB
блізка_ADV наводшыбе_ADV
жар_NOUN стынь_NOUN
гора_NOUN доля_NOUN
аддыхнуць_VERB змарыцца_VERB
рассаджвацца_VERB узлятаць_VERB
мала_ADV шмат_ADV
згубіцца_VERB узнікнуць_VERB
абваліцца_VERB узляцець_VERB
зняможанасць_NOUN сіла_NOUN
гаваркі_ADJ немнагаслоўны_ADJ
адменны_ADJ злы_ADJ
лёгкі_ADJ нялёгкі_ADJ
далёка_ADV неўзабаве_ADV
абяссілены_ADJ моцны_ADJ
змаўкаць_VERB чуцца_VERB
здаровы_ADJ слабы_ADJ
аслабеласць_NOUN сіла_NOUN
запаліцца_VERB згаснуць_VERB
змарыцца_VERB спачнуць_VERB
ноч_NOUN суткі_NOUN
цемра_NOUN ясната_ADV
далёка_ADV паблізу_ADV
сядаць_VERB узлятаць_VERB
вылезці_VERB забрацца_VERB
паасобку_ADV разам_ADV
спачуваць_VERB судзіць_VERB
беспраглядны_ADJ шчаслівы_ADJ
свежы_ADJ цёплы_ADJ
будучае_ADJ даўнасць_NOUN
марудна_ADV імпэтна_ADV
адкрыта_ADV павольна_ADV
прамоклы_ADJ сухі_ADJ
небыліца_NOUN рэчаіснасць_NOUN
воля_NOUN ціск_NOUN
маркотны_ADJ радасны_ADJ
бічаваць_VERB спачуваць_VERB
дужы_ADJ слабасільны_ADJ
зняможаны_ADJ моцны_ADJ
патухнуць_VERB успыхнуць_VERB
мяккі_ADJ укамянелы_ADJ
жаласны_ADJ радасны_ADJ
сканаць_VERB уваскрэснуць_VERB
марудна_ADV стрымгалоў_ADV
гарачы_ADJ марозлівы_ADJ
добры_ADJ люты_ADJ
загадзя_ADV назад_ADV
воля_NOUN рабства_NOUN
расчараванне_NOUN спадзяванне_NOUN
велічэзны_ADJ малы_ADJ
ганарыцца_VERB канфузіцца_VERB
падаць_VERB паднімацца_VERB
змрок_NOUN святло_NOUN
адстаць_VERB перагнаць_VERB
марудна_ADV шпарка_ADV
запальвацца_VERB стухаць_VERB
абагнаць_VERB адстаць_VERB
асмялелы_ADJ баязлівы_ADJ
разбураць_VERB тварыць_VERB
згінуць_VERB узнікнуць_VERB
расчараванне_NOUN чаканне_NOUN
век_NOUN смерць_NOUN
трывога_NOUN цішыня_NOUN
намакаць_VERB сохнуць_VERB
літасцівы_ADJ няшчадны_ADJ
аддаваць_VERB браць_VERB
апраўдацца_VERB напасці_VERB
абараняць_VERB складаць_VERB
апускацца_VERB узлятаць_VERB
засмучэнне_NOUN радасць_NOUN
бог_NOUN сатана_NOUN
беднасць_NOUN скарб_NOUN
з'явіцца_VERB згубіцца_VERB
цемра_NOUN яснасць_NOUN
моцны_ADJ слабасільны_ADJ
журба_NOUN радасць_NOUN
льга_ADV немагчыма_ADV
адвыкнуць_VERB асвоіцца_VERB
пужлівы_ADJ смелы_ADJ
кволы_ADJ моцны_ADJ
уласны_ADJ чужы_ADJ
панылы_ADJ радасны_ADJ
святло_NOUN смуга_NOUN
пан_NOUN прыслужнік_NOUN
разборка_NOUN складка_NOUN
марудна_ADV імгненна_ADV
горны_ADJ шчаслівы_ADJ
спячыся_VERB устыць_VERB
аслабелы_ADJ дужы_ADJ
мажны_ADJ хударлявы_ADJ
дужы_ADJ знясілены_ADJ
вядомы_ADJ неразгадны_ADJ
надзея_NOUN расчараванасць_NOUN
дужы_ADJ зацяганы_ADJ
багаты_ADJ небагаты_ADJ
мала_ADV нязлічана_ADV
адказ_NOUN запытанне_NOUN
вясёлы_ADJ нудны_ADJ
усплысці_VERB утапіцца_VERB
няспраўны_ADJ спрытны_ADJ
воінскі_ADJ цывільны_ADJ
адвыкнуць_VERB звыкнуць_VERB
перамога_NOUN разгром_NOUN
жыццё_NOUN страта_NOUN
прастыць_VERB спячыся_VERB
вядомы_ADJ малы_ADJ
жывы_ADJ памерлы_ADJ
змеркнуцца_VERB світаць_VERB
дзіўны_ADJ звычайны_ADJ
змора_NOUN сіла_NOUN
праклінаць_VERB прасіць_VERB
